content,content_processed
ok thanks maria,ok thanks maria
may new design advisor new team glad opportunity work though thanks great discussions professionalism keep good work new teams,may new design adviser new team glad opportunity work though thanks great discussion professionalism keep good work new team
thanks,thanks
thank,thank
thank,thank
thank maria,thank maria
hello,hello
hello team welcome nephrotex,hello team welcome nephrotex
maria williams design advisor internship,maria williams design adviser internship
help questions,help question
please introduce name prefer called workpro records work review external consultant improve quality internship program ask use first name internship protect privacy,please introduce name prefer call workpro record work review external consultant improve quality internship program ask use first name only internship protect privacy
want make sure everyone found chat interface please send chat check group make chat window bigger clicking icon top right corner,just want make sure everyone find chat interface please send chat check group make chat window big click icon top right corner
call isaak,call isaak
call logan,call logan
hi emily,hi emily
hi yao,hi yao
hello mckenna,hello mckenna
hi marisa,hi marisa
already please check email,not_already please check email
throughout time nephrotex receiving emails boss alex send instructions work throughout course internship,throughout time nephrotex receive email bos alex send instruction work throughout course internship
please check deliverable list bottom right corner workpro,please check deliverance list bottom right corner workpro
deliverables assigned show list able check see original email instructions alex sent whether submitted deliverable whether vedant approved deliverable,deliverable assign show list able check see original email instruction alex send whether submit deliverance whether vedant approve deliverance
detailed information deliverable list click info button top right corner deliverables list tab,detailed information deliverance list click button top right corner deliverables list tab
provided summary workflow resource shared space plagiarism tolerated make sure paraphrase summary notebook entry,provide summary workflow resource shared space plagiarism not_tolerated make sure paraphrase summary notebook entry
supposed read something interview help us testing prior knowledge,suppose read something interview help us test prior knowledge
done notebook entry submit alex clicking submit button middle notebook window,notebook entry submit alex click submit button middle notebook window
wo able edit entry submitted need update correct work cancel submission clicking x deliverables list,not_be able edit entry submit need update correct work cancel submission click x deliverables list
cancel submissions alex viewed make sure included everything required submitting,only cancel submission alex view make sure include everything require submit
back undergrad interned mechanical engineering company designed exoskeletons rescue workers working different project put example summary used previous project shared space alex pretty similar boss internship welcome use template write note language length response,back undergrad internet mechanical engineering company design exoskeleton rescue worker work different project put example summary use previous project shared space alex pretty similar bos internship welcome use temple write note language length response
completed entrance interview,complete entrance interview
please pay close attention citation methods used example know alex stickler following correct citation methods,please pay close attention citation method use example know alex stickler follow correct citation method
still received deliverable task deadline approaching please submit notebook soon,still not_received deliverance task deadline approach please submit notebook soon
deliverable list say research dialysis notebook unsubmitted incomplete tured,deliverance list say research dialysis notebook submit incomplete turn
ok nevermind needed refresh page,ok nevermind just need refresh page
posted another notebook entry old internship shared space internship studied control sensors power sources looking surfactants nevertheless welcome use example model response,post another notebook entry old internship shared space internship study control sensory power source look surfactant nevertheless welcome use example model response
submitted notebook waiting feedback alex help teammates submitted deliverable yet could also wrap notebook revisions time finish earlier still time team meeting may want start working final presentation giving end internship find outline alex expects presentations resource section workpro recommend start working background research section presentation,submit notebook wait feedback alex help teammate not_submitted deliverance yet could also wrap notebook revision not_have time finish early still time team meeting may want start work final presentation give end internship find outline alex expect presentation resource section workpro recommend start work background research section presentation
based surfactant graph surfactants perform relative one another,base surfactant graph surfactant perform relative one another
surfactants different qualities terms reliability marketability blood cell reactivity cost regarding flux,surfactant different quality term reliability marketability blood cell activity cost regard flux same
yes flux seemed controlled variable one change research variables,yes flux seem control variable one not_change research variable
log fridays even thoughi class day,log friday even thoughi not_have class day
yeah noticed well also one performed better different categories different cost desirables maybe meaning increase performance certain categories makes cost different variables different prices based well rated,yeah notice well also one perform well different category different cost desirable maybe mean increase performance certain category make cost different variable different price base well rat
one surfactant obviously best choice,one surfactant obviously best choice
log though saying missing assignment day,not_log though say missing assignment day
based data steric hindering seemed stable results meaning exceptionally high one variable exceptionally low another,base data steric hindering seem stable result mean not_exceptionally high one variable exceptionally low another
personally thought steric hindering surfactant best choice high marketability would mean appealing customers would make increased cost addition fairly high score blood cell reactivity important patient immune system issues addition renal complications,personally think steric hindering surfactant best choice high marketability would mean appeal customer would make increase cost addition fairly high score blood cell activity important patient immune system issue addition renal complication
best choice means good reliability flux blood cell reactivity lowest cost,best choice mean good reliability flux blood cell activity low cost
best choice would mean ideally scores would seeing scale least desirable desirable,best choice would mean ideally score would 5 see scale 1 5 1 least desirable 5 desirable
personal think best means pretty good ability mean cost,personal think best mean pretty good ability mean cost
yes think best choice would low price reliable,yes think best choice would low price reliable
subjective question think means taking consideration personally think would best pros cons,subjective question think mean take consideration personally think would best pro con
think means overall ratings comparison price surfactant give something make price right need determine aspect surfactant important youre willing pay,think mean overall rating comparison price surfactant give something make price right need determine aspect surfactant important willing pay
one surfactant performed well every attribute,one surfactant perform well every attribute
negative charge,negative charge
negative charge consistency desirability rating,negative charge consistency desirability rating
isaak said qualities surfactant reflected price price went rest attributes decreased quality prices became desirable qualities surfactants became worse,no_as isaak say quality surfactant reflect price price go rest attribute decrease quality price become desirable quality surfactant become bad
think negative charge performed well balance area fairly cost mean marketability pretty good blood cell reacitivity flux,think negative charge perform well balance area fairly cost mean marketability pretty good blood cell reacitivity flux
choose best surfactant,choose best surfactant
surfactant areas excelled weak depends looking impact patient needs wants treatment,surfactant area expel weak depend look impact patient 's need want treatment
surfactant graphs helpful making final surfactant choice,surfactant graph helpful make final surfactant choice
graph helpful finding surfactant average desirability rating also showed surfactant least desirable category,graph helpful find surfactant 's average desirability rating also show surfactant least desirable category
clear easy compare one,clear easy compare one
compared surfactants directly could see data,compare surfactant directly could see data
graphs helpful made easy compare surfactants,graph helpful make easy compare surfactant
looked negative charge average across board everything except flux surfactants score steric hindering surfactant nothing lower except flux cost point lower however marketability high could account point cost make overall better average surfactant graphs compared side side easy compare category,look negative charge average across board 3 's everything except flux surfactant same score 1 steric hindering surfactant nothing low 3 except flux cost only point low 2 however marketability high could account 1 point cost make overall good average surfactant graph compare side side easy compare category
value attributes others choosing best surfactant,value attribute others choose best surfactant
valued attributes would benefit patient health took account cost,value attribute would benefit patient 's health take account cost
put reliability towards top things prioritize,same put reliability towards top thing prioritize
yes thought cost although considered least important attribute effectiveness performance surfactant important patient health always considered,yes think cost although consider least important attribute effectiveness performance surfactant important patient 's health always consider
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
team next step,team 's next step
next step would agreeing surfactant use,next step would agree surfactant use
agreed,agree
think decide one want use,think decide one want use
unanimously,unanimously
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yeah would give us better idea need value choosing surfactant use,yeah would give us good idea need value choose surfactant use
think narrow two research decide,think narrow two research decide
team two choose research,team two choose far research
think one steric,think one steric
agreed,agree
agree well,agree well
agree,agree
would say steric hindering surfactant possibly negative charge surfactant definelty steric though,would say steric hindering surfactant possibly negative charge surfactant definelty steric though
thinking negative hydrophilic one would want consider though,think negative hydrophilic one would not_want consider though
agree negative since consistency throughout variables tested,agree negative since consistency throughout variable test
hydrophilic biological obvious weakness,hydrophilic biological obvious weakness
agree steric hindering negative charge,agree steric hindering negative charge
agree,agree
agree,agree
looking statistical best choices could add scores divide number variables believe steric negative charge scored highest looked way,look statistical best choice could just add score divide number variable believe steric negative charge score high look way
agree,agree
agree,agree
agree,agree
research bring wednesday meet,research bring wednesday meet
sure,sure
sounds good,sound good
good plan,good plan
sounds great,sound great
sounds good,sound good
good,good
hi maria log friday think class day logged today little confused still submit notebook due,hi maria not_log friday not_think not_have class day log today little confused still submit notebook due
hey everyone posted mechanical engineering consultants requirements time intern find shared space,hey everyone just post write mechanical engineering consultant ' requirement time inter find write shared space
nephrotex internal consultants experts fields,nephrotex internal consultant expert field
let know questions requirements membrane design,let know question requirement membrane design
probably want check staff pages information,probably want check staff page information
intern describe certain inputs influence outputs posted shared space reference,inter describe certain input influence output post write shared space reference
goal understand given particular material different design parameters affect attributes prototype,goal understand give particular material different design parameter affect attribute prototype
alex wants figure design choices different internal consultants favor assuming use team material,alex want figure design choice different internal consultant favor assume use team 's material
back internship justify design decisions made found useful practice working alex know would like see similar style justification posted old notebook mine shared space reference,back internship justify design decision make find useful practice work alex know would like see similar style justification post old notebook mine shared space reference
clear team member design prototypes using psf materials,just clear team member design 5 prototype use only psf material
generate new device using psf place type material,generate new device only use psf place type material
nevermind got,nevermind get
way delete edit device,way delete edit device
thank,thank
alex wanted inform things submit notebook help teammates complete deliverables revise incomplete notebooks work presentation presentation include everything presentation outline located resources section workpro may want consider research design challenges developing dialyzer,alex want inform thing submit notebook help teammate complete deliverable revise incomplete notebook work presentation presentation include everything presentation outline locate resource section workpro may want consider research design challenge develop dialyzer
discuss prototypes would like send testing,discuss 5 prototype would like send test
think,think
seems like lot us made prototypes psf phase process steric hinderince somewhere cnt,seem like lot us make prototype psf phase process steric hinderince somewhere 5 1 5 cnt
want submit multiple prototypes use differing amounts cnt,want submit multiple prototype use differ amount cnt
focused testing effects cnt process decided steric hinderince best surfactant used prototypes,focus test effect cnt process decide steric hinderince best surfactant use prototype
believe would best order test using one variable changed cnt,believe would best order test use only one variable change cnt
think test least one uses phase process,think test least one use phase process
want pick cnt one variable keep components constant,want pick cnt one variable keep component constant
could use phase manufacturing process logan,could use phase manufacturing process logan
read right psf material highest porosity increases hydrophilicity membrane,read right psf material high pomposity 1 1 5 increase hydrophilicity membrane
could prototypes using phase process cnt different process cnt,could 2 prototype use phase process 1 1 5 cnt 2 different process 1 1 5 cnt
agree nanotubes,agree nanotube 1 1 5
mean keep cnt use different cnt,mean just keep cnt same use different cnt
agree,agree 1 1 5
made prototype fits specifications need make new ones,make prototype fit specification need make new one
prototypes,prototype 1 1 5
look feeds,look feeds
since material nanotube set need focus surfractant process combinations effect flux time reached etc,since material nanotube set need focus surfractant process combination effect flux time 75 reach etc
also keep surfactant constant well test process,also keep surfactant constant well test only process
narrow choice two surfactant,narrow choice two surfactant
want keep surfactant,want keep surfactant same
dont think keep constant narrow,not_think keep constant narrow
either negative charge steric hindrance think,either negative charge steric hindrance think
think choose two kind compare,think choose two kind compare
forget attach team new batch notebook,not_forget attach team 's new batch notebook
alex upload design specifications server submit justifications member team needs attach submit batch testing first team member attaches submits team batch rest team members option attach batch,alex unload design specification server submit justification member team need attach submit same batch test first team member attache submits team 's batch rest team member only option attach same batch
agree negative steric,agree negative steric
keep surfractant prototypes need,keep surfractant same only 3 prototype need 5
mckenna prototype looks like nice one use,mckenna 's prototype 5 look like nice one use
agree,agree
need steric charge cnt,only need steric hindrance necative charge cnt 1 1 5
ok need,ok 1 need 4
could focus negative steric team decides,could only focus negative steric team decides
thing except negative charge surfactant,same thing except negative charge surfactant
think would good idea,think would good idea
yea,yea
anyone feel strongly confident one prototypes particular,anyone feel strongly confident one prototype particular
easy compare,easy compare
agree yao,agree yao
agree prototypes used comparison variables except surfactant another make fifth prototype random,agree 4 prototype use comparison 2 same variable except surfactant another 2 same make fifth prototype random
another using process different surfactant etc,another 2 use same process different surfactant etc
fine,fine
ok want prototype,ok want prototype 3
works,work
prototype phase negative charge work,prototype 5 phase negative charge 1 work
wait second one,wait second one
psf phase steric,1 psf phase steric 1 5
psf phase negative,2 psf phase negative 1 5
right,right
good,good
psf p,psf p 1 5
could make one first change process,could make 3rd one same first change process
sounds good,sound good
different process right,th same 3rd different process right
process pick,process pick
meant,mean same
right,right
someone creating batch,someone create batch
say wet second steric prototype use negative prototypes knowledgeable second process,say dry jet wet second steric prototype not_use negative prototype not_knowledgeable second process
want vapor dry jet,want vapor dry jet
make new design according result talk,make new design accord result talk
use vapor steric costly since steric high marketability sell easily,use vapor steric costly since steric high marketability sell easily
used steric processes already justifications,use steric 3 process already justification 3
psf vapor process steric hindrance surfactant cnt correct,3 psf vapor process steric hindrance surfactant 1 5 cnt correct
yes,yes
could change dry jet instead everyone wants,could change dry jet instead everyone want
u think,think
would rather like said justifications really matter,would rather jet dry like say justification not_really matter
supposed share shared space come,suppose share shared space come
im fine process,fine jet dry process 3
agree fine,agree jet dry 3 fine
goog,good
good,good
think change element prototype mean,think just change element prototype mean 3 4 jet dry
psf negative charge,4 psf jet dry negative charge 1 5
yes would psf jet dry negative,yes 4 would psf jet dry negative 1 5
ok,ok
yes use vapor fifth steric hinerance,yes use vapor fifth steric hindrance
keep cnt well,keep cnt same 5 well
think change,think change
random following pattern think would cool see biological phase nanotubing,random follow same pattern think would cool see biological phase 1 nanotubing
changing process probably shouldnt change cnt,change process 5 probably not_change cnt
think keep compare one others cnt percentage,think keep same compare one others same cnt percentage
point changing cnt productive something else,no_point change cnt productive something else
thing common need something compare,only thing common need something compare
psf vapor steric,5 psf vapor steric 1 5
sounds good,sound good
oh true meant b,oh true mean 1 5 b
yeah fine honestly care long compare,yeah fine honestly not_care just long compare
,5
titled prototype dis,title prototype 3 dis
want make new ones see already made,want just make new one see already make
done, 
second one made already going make batch make,second one make already go make batch make
thank yao,thank yao
attach notebook,attach notebook
someone created batch,someone create batch
make really quick want,just make really quick want
f one started yet batch attach notebook,f no_one start yet batch attach notebook
oh go ahead mckenna sorry,oh go ahead mckenna sorry
wait prototype discussion uses vapor thought decided using jet dry,wait prototype 3 discussion use vapor think decide use jet dry
mistake,mistake
said,4 5 say 3 4
talk matter,3 same 5 talk matter
ok let say one message refer back prototypes,ok let us just say one message refer back prototype
, 
oh mean switched,oh mean just switch 3 5
might still work im sure,might still work not_sure
yes,yes
psf cnt phase steric vapor steric steric negative,psf w cnt 1 5 1 phase steric 2 vapor steric 3 dry jet steric 4 jet dry negative th
vapor steric,5 vapor steric
put order steric two processes using negative,no_i not_put order steric two process use negative
order,order
psf phase steric,1 psf phase steric 1 5
psf phase negative,2 psf phase negative 1 5
psf jet dry steric,3 psf jet dry steric 1 5
psf jet dry negative,4 psf jet dry negative 1 5
psf vapor steric,5 psf vapor steric 1 5
batch created,batch create
yao posted batches feed,yao post 2 batch feed
isaak thanks,isaac thanks
batch final one,batch final one
oh kidding done already,oh just bidding already
yes,yes
one,one
prototype discuss,5 prototype discus
cant change order know,not_change order know
im sure change order sorry,not_sure change order sorry
someone final prototypes,someone final 5 prototype
ok think,ok think
dont know matters,not_know matter
correct order say look yao final batch go order fine,correct just order 's say just look yao 's final batch go order fine
ok yao needs attach batch notebook rest us right,ok yao need attach batch notebook rest us right
think use,think use
received lab results internship analyze write findings remember difficult first couple times posted one old lab shared space reference remember analysis include important information concise alex want able find key points analysis quickly,receive lab result internship analyze write finding remember difficult first couple time post one old lab write ups shared space reference just remember analysis include important information concise well organize alex want able find key point analysis quickly
submitted team design notebook deadline however right nephrotex crashed unable login resubmit rest day counted late,submit team design notebook deadline however right nephrotex crash unable login submit rest day count late
also find results seeing feeds,also find result not_seeing feeds
okay everyone let get going want hear meeting,okay everyone let us get go want hear meeting
please see meeting summary example posted shared space earlier internship need example notebook,please see meeting summary example post shared space earlier internship need example notebook
team received batch results successful trial,team receive batch result successful trial
results im assuming higher number still means desired,result assume high number still mean desired
believe wa,believe wa
, 
according results batch displayed high marketability reliability well flux,accord result batch display high marketability reliability well flux
believe gave us similar prototypes couple different variables wanted,believe give us similar prototype couple different variable want
tes able compare prototypes see variable changed effected,te able compare prototype see variable change effect
believe prototype best though,believe prototype 3 best though
gave best results also highest cost,give best result also high cost
agree prototype best prototype,agree prototype 3 best prototype
question would ask customer willing pay better quality product,question would ask customer willing pay good quality product
prototype performs good,prototype 3 perform good
really high marketability sell concerning people health people usually willing spend,really high marketability sell concern people 's health people usually willing spend
yeah agree,yeah agree
agree completely,agree completely
agree,agree
discover design problem,discover design problem
agree well prototype,agree well prototype 3
interesting bcr,interest same bcr
must depend membrane nanotubing,must depend membrane nanotubing
think use cnt time,think use same cnt time
agreed cnt resulted bcr throughout,agree same cnt result same bcr throughout
thought price prototype little high,think price prototype 3 little high
agree also looks like highest flux levels achieved phase process used,agree also look like high flux level achieve phase process use
also discovered steric hinderance higher marketability matter variables fluctuate,also discover steric hindrance high marketability no_matter variable fluctuate
cost may connect surfactant use,cost may connect surfactant use
also steric hindrance higher cost,also steric hindrance high cost
yes think process affects cost,yes think process affect cost
think prototype performs reasonably well,think prototype 5 perform reasonably well
yes seems much cheaper phase,yes seem dry jet much cheap phase
yeah one good flux pretty low,yeah one good flux pretty low
yeah phase costly flux high probably worth extra cost,yeah phase costly flux high probably worth extra cost
agree,agree
worried cost prototype flux reliability one less,worried cost 90 prototype 2 flux 21 17 reliability only one less
im sorry caps,sorry cap
marketability also less thought,marketability also less just thought
true prototype basically though increase marketability understand guys worrying prices second expensive product,true prototype 1 basically same 2 though just 10 increase marketability 500 000 understand gun worry price second expensive product
know difference marketability exactly scores mean,know difference 400000 500000 marketability exactly score mean
think means many sell calender year positive though,think mean many sell callender year not_positive though
think read awhile back,think read awhile back
even though flux low prototype still performs reasonably well compare data internal consultants required preferred values,even though flux low prototype 5 still perform reasonably well compare data internal consultant require prefer value
better,good
yes,yes
yes sold higher profit company,yes sold high profit company
profit also connect cost,profit also connect cost
prototype,prototype 1
still take account cost cost lot may matter sold net profit isnt much,still take account cost cost lot may not_matter 100 000 sell net profit not_that much
like everything except reliability feel like thats pretty important,like everything 1 except reliability feel like pretty important
well working company people using product think big impact product use,well work company people use product think big impact product use
agree reliability important,agree reliability important
think working company developing product,think work company develop product
think make better product think prototype okay,just think make good product think prototype 1 okay
know different design choices affect properties device,know not_before different design choice affect property device
know phase process renders highest flux steric hindrance surfactant highest marketability,know phase process render high flux steric hindrance surfactant high marketability
also costs,also cost
also learned brc depends nanotubing within protoype,also learn brc depend nanotubing within protoype
number cnt affect bcr,number cnt affect bcr
found vapor reliable phase comparing prototype everything except process,find vapor reliable phase compare prototype 1 3 everything same except process
go pick one prototype supposed discuss results,go pick one prototype just suppose discuss result
could still create ideal prototype seeing results ones,could still create ideal prototype see result one
still access teams designs,still access team design
access shared space notebook still able email current team may new design advisor new team glad opportunity work though,access share space notebook still able email current team may new design adviser new team glad opportunity work though
thank maria,thank maria
hello team welcome nephrotex,hello team welcome nephrotex
nassim tehrani design advisor internship,nassim tehrani design adviser internship
help questions,help question
please introduce name prefer called workpro records work review external consultant improve quality internship program ask use first name internship protect privacy,please introduce name prefer call workpro record work review external consultant improve quality internship program ask use first name only internship protect privacy
yo,yo
want make sure everyone found chat interface please send chat check group make chat window bigger clicking icon top right corner,just want make sure everyone find chat interface please send chat check group make chat window big click icon top right corner
oscar,oscar
tamara,tamara
haoxin,haoxin
tyler,tyler
ben r,ben r
katie,katie
already please check email,not_already please check email
throughout time nephrotex receiving emails boss alex send instructions work throughout course internship,throughout time nephrotex receive email bos alex send instruction work throughout course internship
please check deliverable list bottom right corner workpro,please check deliverance list bottom right corner workpro
deliverables assigned show list able check see original email instructions alex sent whether submitted deliverable whether vedant approved deliverable,deliverable assign show list able check see original email instruction alex send whether submit deliverance whether vedant approve deliverance
detailed information deliverable list click info button top right corner deliverables list tab,detailed information deliverance list click button top right corner deliverables list tab
provided summary workflow resource shared space plagiarism tolerated make sure paraphrase summary notebook entry,provide summary workflow resource shared space plagiarism not_tolerated make sure paraphrase summary notebook entry
done notebook entry submit alex clicking submit button middle notebook window,notebook entry submit alex click submit button middle notebook window
wo able edit entry submitted need update correct work cancel submission clicking x deliverables list,not_be able edit entry submit need update correct work cancel submission click x deliverables list
cancel submissions alex viewed make sure included everything required submitting,only cancel submission alex view make sure include everything require submit
soon submit notebook alex review send feedback soon waiting assist teammates submitted deliverable team able move next task team members notebooks witnessed,soon submit notebook alex review send feedback soon wait assist teammate not_submitted deliverance team not_be able move next task team member ' notebook witness
back undergrad interned mechanical engineering company designed exoskeletons rescue workers working different project put example summary used previous project shared space alex pretty similar boss internship welcome use template write note language length response,back undergrad internet mechanical engineering company design exoskeleton rescue worker work different project put example summary use previous project shared space alex pretty similar bos internship welcome use temple write note language length response
alex receives notebook receive email feedback shortly thereafter recommend completing notebook revisions helping teammates finish deliverables wait feedback soon team deliverables submitted witnessed get started next task,alex receive notebook receive email feedback shortly thereafter recommend complete notebook revision help teammate finish deliverable wait feedback soon team 's deliverable submit witness get start next task
posted another notebook entry old internship shared space internship studied control sensors power sources looking surfactants nevertheless welcome use example model response,post another notebook entry old internship shared space internship study control sensory power source look surfactant nevertheless welcome use example model response
hello,hello
start disucssion,start discussion
think,think just
hello team,hello team
hello,hello
hello,hello
hello,hello
okay everyone let get going want hear meeting,okay everyone let us get go want hear meeting
based surfactant graph surfactants perform relative one another,base surfactant graph surfactant perform relative one another
based graph performance surfactants mostly positive effective surfactants better impact surfactants average data far surfactants used time took reach original flux ranged hours level two hour treatment ranged,base graph performance surfactant mostly positive effective surfactant good impact surfactant average data not_too far surfactant use time take reach 75 original flux range 2 5 hour beta thromboglobulin level two hour treatment range 30 60 no_ml
would agree tamera seemed effective effective others,no_i would agree tamera seem effective effective others
one surfactant obviously best choice,one surfactant obviously best choice
agree also thinking exact time range hours question graph comparing blood cell reactivity time without steric hindrance surfactant data points seem begin level would need worry going level time,agree also think exact same time range 2 5 hour question graph compare blood cell reactivity v time without steric hindrance surfactant data point no_ml seem begin level would need worry beta thromboglobulin just go level time
personally hydrophilic best choice,personally hydrophilic best choice
based data think balanced surfactant categories would hydrophilic would best choice,base data think balanced surfactant category would hydrophilic would best choice
believe hydrophilic would best choice based data given,believe hydrophilic would best choice base data give
also believe hydrophilic would best choice although negative charge surfactant came close second,also believe hydrophilic would best choice although negative charge surfactant come close second
nothing perfect effect better means expensive price expensive price want,nothing perfect effect good mean expensive price expensive price not_what want
thinking steric hindrance would good option got points people survey meaning comfortable price highest,think steric hindrance would good option get point people survey meaning comfortable price not_the high
choose best surfactant,choose best surfactant
chose hydrophilic based high reliability low cost relatively good marketability blood cell reactivity seemed balanced across graph,choose hydrophilic base high reliability low cost relatively good marketability blood cell activity seem balanced across graph
went average reliablitly average price seemed higher reliability higher price drop price reliability well like trying split get worlds,go average reliability average price seem high reliability high price drop price reliability well like try split 50 50 get best world
picked one good reliability low cost decent marketability,pick one good reliability low cost decent marketability
chose hydrophilic negative charge surfactants reliability price compared times flux surfactant figured best choice cost also important considering cheapest expensive,choose hydrophilic negative charge surfactant reliability price compare time flux surfactant figure best choice cost also important consider not_the cheap expensive
yes correct,yes correct
choose based attributes factors took consideration high marketability average cost average blood cell reactivity came conclusion steric hindrance would good option,choose base attribute factor take consideration high marketability average cost average blood cell activity come conclusion steric hindrance would good option
chose,chose
team next step,team 's next step
could also look graph try estimate color radar largest area case would come steric hindering hydrophilic,could also look graph try estimate color radar large area case would come steric hindering hydrophilic
discussion explaining choices vote best two surfactants choose two,discussion explain choice vote best two surfactant choose two
would say next step could narrow choices weighing pros cons,would say next step could narrow choice weigh pro con
figure pros better others cons worse others,figure pro good others con bad others
cost main thing worried obvious choice surfactant need figure main goal top two goals help narrow decision,cost main thing worried obvious choice no_surfactant need figure main goal top two goal help narrow decision
sounds good,sound good
running tests collect research would help narrow choices yes sounds right,run test collect research would help narrow choice yes sound right
like also,like also
sounds like good plan,sound like good plan
good idea,good idea
good plan,good plan
today,today
thanks good team meeting,thanks good team meeting
good discussion today,good discussion today
thanks sharing comments,thanks share comment
read liquid membranes sounds like something different unfortunately limited commercial use say,just read liquid membrane sound like something different unfortunately limit commercial use would say
problem long term use makes liquid membranes,problem long term use make liquid membrane no_go
hey everyone posted mechanical engineering consultants requirements time intern find shared space,hey everyone just post write mechanical engineering consultant ' requirement time inter find write shared space
nephrotex internal consultants experts fields,nephrotex internal consultant expert field
let know questions requirements membrane design,let know question requirement membrane design
nassim units flux rate says cubic meters per meters squared day,nassim unit flux rate say cubic meter per meter square day
units bad,unit bad
okay thanks,okay thanks
okay surfactant surfactant choose one four actual surfactants,okay ' no_surfactant ' preferred surfactant ' choose one four actual surfactant
okay thanks,okay thanks
guys supposed divide consultants research ill town im hope okay chose padma rao,gun suppose divide consultant research ill town hope okay choose padma rao
hey guys im town homework hope cool chose padma roa,hey gun town homework hope cool choose parma roa
hey guys hope fine chose alan duchamp,hey gun hope fine choose alan duchamp
michelle proctor okay everyone,michelle proctor okay everyone
find shared space see everybody notebooks,find shared space see everybody 's notebook
nevermind found,nevermind just find
clear team member design prototypes using pam materials,just clear team member design 5 prototype use only pam material
sooooo liiiiiike,sooooo liiiiiike
need prototypes,need 3 prototype
wait person create prototypes,wait not_each person create 5 prototype
okay thought,okay think
let,let us
back internship justify design decisions made found useful practice working alex know would like see similar style justification posted old notebook mine shared space reference,back internship justify design decision make find useful practice work alex know would like see similar style justification post old notebook mine shared space reference
everyone share choose consultants analyze notebook,everyone share choose consultant analyze notebook
okay make sure right track one us supposed submit designs supposed make design based consultant notebooks shared,okay just make sure right track one us suppose submit 5 design suppose make design base consultant notebook share
alright thanks,alright thanks
possible delete edit design,possible delete edit design
alright let get started,alright let us get start
hello everyone,hello everyone
hey guys,hey gun
hi,hi
hello,hello
hey,hey
shall get started,shall get start
supposed choose prototypes suggestions base choices,suppose choose only 5 prototype suggestion base choice
first thing five need use material pam,first thing five need use material pam
sure use ones pam material get rid ones use pam,sure use one pam material get rid one not_use pam
say one based solely treatment process throw cost marketability etc window focus treatment process,say one base solely treatment process throw cost marketability etc window focus treatment process
feel like need determine ones offer best balance cost marketability reliability etc start knocking ones strongly one sided thats,feel like need determine one offer best balance cost marketability reliability etc start knock one strongly one side
well shoot,well shoot
prototype focus one attribute something like,prototype focus one attribute something like
suggestion feel like prototypes tht strictly cost effective strictly treatment effective wont successful,just suggestion feel like prototypes strictly cost effective strictly treatment effective not_be successful
everyone feel using oscar prototype,everyone feel use oscar 's prototype 3
prototype meant bad,prototype 4 mean bad
believe oscar prototype better,believe oscar 's prototype 2 good 3
would agree prototype,would agree prototype 2
prototype,prototype 2
two,two
,2
yea thinking feel like really look manufacturing process phase inversion seems keep flux high middle comes cost,yea think same feel like really look manufacture process phase inversion seem keep flux high middle come cost
also apologize prototypes name accident,also apologize 2 prototype same name accident
yeah go nanotube prototype,yeah go 2 nanotube prototype
phase hydrophilic prototype yeah pick first option,phase hydrophilic 2 prototype yeah pick first option
think prototype good bet phase inversion man process hydrophilic surfactant makes strong flux making last longer makes helps increase flux,think 2 0 prototype 2 good bet phase inversion man process hydrophilic surfactant make strong flux make last longer 2 0 make helps increase flux
okay next one,okay next one
go along oscars prototype could also use tamaras prototype jet hydrophilic well observe difference using wet phase process,go along scar prototype 2 could also use tara prototype 2 dry wet jet hydrophilic 2 0 well observe difference use dry jet wet vs phase process
agree also looking one figured although model hydrophilic surfactant increase flux rate little,agree also look one figure although low flux model dry jet hydrophilic surfactant increase flux rate little
cheapest yet reliability time hours moderately effective,cheap yet reliability time 3 hour moderately effective
agree,agree
agreed,agree
good choice,good choice
okay,okay
like choice,like choice
oscars prototype tamara prototype hydrophilic,scar 2 0 prototype 2 tamara prototype 2 hydrophilic
next,next
guys wan na focus specific surfactant cause choose hydrophilic far,gun want focus specific surfactant choose 2 hydrophilic far
yes next one lets choose new surfactant,yes next one let us choose new surfactant
looking katie prototype,look katie 's prototype 1
everyone else think,everyone else think
thinking one well,just think one well
yes going say steric hindrance,yes just go say steric hindrance
steric hindrance good one biological cool,steric hindrance good one biological not_cool
also possibly katie prototype negative charge surfactant,also possibly katie 's prototype 4 negative charge surfactant
could work,could work
okay cause works best options sounds great,okay 4 work best 2 option sound great
katie address change surfactants,katie 's 1 4 address change surfactant
tamara saying change nanotube,tamara say change nanotube 2 4
oh wait never mind said mistake,oh wait never_mind say mistake
katies work,4 katie 1 4 work
yeah,yeah
haha okay katie,haha okay katie
bad accidentally hit enter,bad accidentally hit enter
